PROFAMCHA010501122137122145000008CC Was Brought To You By - Lark (PRESCHOOL)                                                                             06  150                                
ID FAMCHA010501122145122200000015Generic ID - confetti                                                                                                   06  150                                
PROFAMCHA010501122200122213000013Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      02  150                                
PRCFAMCHA010501122213122227000014Franklin Bumper - Leaf - Coming Up                                                                                     102  150                                
PRCFAMCHA010501122227122234000007Book of Pooh Bumper - Gang - This Afternoon                                                                            106  150                                
PRCFAMCHA010501122234122245000011Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501122245122300000015Afternoon block pinball open                                                                                            02  150                                
PROFAMCHA010501122300122308000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501122308124601002253Franklin                                          Gee Whiz Franklin/Franklin Can't Wait                               A1025607ECC                              
PROFAMCHA010501124601124609000008CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501124609124619000010Generic ID - Ring around the rosie                                                                                      02  150                                
PROFAMCHA010501124619124635000016ALF (Description) - Tonight @ 7:30pm                                                                                    02  150                                
PRCFAMCHA010501124635124645000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501124645124700000015Afternoon block pinball open                                                                                            06  150                                
PGRFAMCHA010501124700130232001532Elmo's World                                      Shoes                                                               A2028607G                                
ID FAMCHA010501130232130242000010Generic ID - Hula Hoop                                                                                                  06  150                                
PROFAMCHA010501130242130312000030Pepper Ann (MARCH2001) - Today @ 4:30pm                                                                                 06  150                                
PROFAMCHA010501130312130357000045PB&J Otter (MARCH2001) - Coming Up                                                                                     206  150                                
INTFAMCHA010501130357130608000211MV Disney - Right Back Where We Started From                                                                           60288120                                
PRCFAMCHA010501130608130622000014Franklin Bumper - Leaf - Weekdays                                                                                      102  150                                
PRCFAMCHA010501130622130629000007Book of Pooh Bumper - Gang - This Afternoon                                                                            106  150                                
PRCFAMCHA010501130629130640000011Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501130640130700000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501130700130708000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
PGRFAMCHA010501130708133038002330PB&J Otter                                        This Little Light of Mine/Look Ma, No Hands                         A6028607ECC                              
PROFAMCHA010501133038133046000008CC Was Brought To You By - Ian (PRESCHOOL)                                                                              06  150                                
ID FAMCHA010501133046133056000010Generic ID - Family w/dog                                                                                               02  150                                
PRCFAMCHA010501133056133103000007Book of Pooh Bumper - Gang - Coming Up                                                                                 106  150                                
PROFAMCHA010501133103133124000021Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
INTFAMCHA010501133124133226000102Bill Nye - Bloodstream Baby                                                                                            60288120                                
PRCFAMCHA010501133226133240000014Franklin Bumper - Leaf - Weekdays                                                                                      106  150                                
PRCFAMCHA010501133240133250000010Morning Block menu background (flex time)                                                                               06  150                                
ID FAMCHA010501133250133300000010Magic of Disney - V3(water) - TEEN MALE                                                                                 02  150                                
PGRFAMCHA010501133300135702002402Book Of Pooh; The                                 Bee-Friended/Nightmare                                               6028607G                                
ID FAMCHA010501135702135712000010Generic ID - Family w/dog                                                                                               06  150                                
PROFAMCHA010501135712135725000013Buzz Lightyear (DISNEY'S ONE TOO) - Today @ 5:30pm                                                                      06  150                                
PROFAMCHA010501135725135740000015Doug (MARCH2001) - Today @ 4pm                                                                                          06  150                                
ID FAMCHA010501135740135800000020Morning block open play pen                                                                                             06  150                                
PROFAMCHA010501135800135808000008CC Is Brought To You By - Ian (PRESCHOOL)                                                                               06  150                                
